episode,step,front,back,state,allowed_actions,action,reward,next_front,next_back,next_state,q_value,epsilon
1,26,87,173,F:danger|B:clear,turn_left|turn_right,turn_right,-8.0,257,115,F:medium|B:clear,1.0526,0.15
1,27,257,115,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,3.6,243,137,F:medium|B:clear,1.0394,0.15
1,28,243,137,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,2.1,214,121,F:medium|B:clear,1.3949,0.15
1,29,214,121,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,2.3,187,139,F:medium|B:clear,1.7788,0.15
1,30,187,139,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,-12.0,161,106,F:near|B:clear,-0.6539,0.15
1,31,161,106,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,74,999,F:danger|B:clear,-0.3073,0.15
1,32,74,999,F:danger|B:clear,turn_left|turn_right,turn_right,15.8,132,168,F:near|B:clear,3.7547,0.15
1,33,132,168,F:near|B:clear,turn_left|turn_right,turn_left,20.0,296,134,F:medium|B:clear,3.9094,0.15
1,34,296,134,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,-12.0,161,144,F:near|B:clear,-1.2128,0.15
1,35,161,144,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,165,999,F:near|B:clear,3.1049,0.15
1,36,165,999,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,97,144,F:danger|B:clear,1.7008,0.15
1,0,153,281,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,153,280,F:near|B:clear,0.944,0.15
1,1,153,280,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,137,268,F:near|B:clear,-0.5164,0.15
1,2,137,268,F:near|B:clear,turn_left|turn_right,turn_right,-4.0,138,269,F:near|B:clear,-0.4265,0.15
1,3,138,269,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,136,268,F:near|B:clear,-0.4265,0.15
1,4,136,268,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,137,267,F:near|B:clear,-1.1465,0.15
1,5,137,267,F:near|B:clear,turn_left|turn_right,turn_right,-4.0,137,269,F:near|B:clear,-0.4265,0.15
1,6,137,269,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,139,269,F:near|B:clear,-0.4265,0.15
1,0,136,268,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,137,269,F:near|B:clear,-0.4265,0.15
1,1,137,269,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,154,154,F:near|B:clear,-1.1465,0.15
